clinic_type,price,anonymous_testing,sti_count,weekend_available,online_booking,waiting_time
public_health,0,0.5,4,0.0,0.0,11.6
urology,35666,1.0,13,1.0,1.0,4.8
public_health,0,0.5,4,0.0,0.0,9.0
public_health,0,0.5,3,0.0,0.0,7.1
public_health,0,0.5,3,0.0,0.0,5.8
urology,45809,1.0,13,0.0,1.0,1.0
public_health,0,0.5,3,0.0,0.0,9.7
urology,29358,1.0,13,0.0,1.0,4.7
urology,37063,0.0,13,0.0,1.0,0.3
public_health,0,0.5,4,0.0,0.0,10.9
public_health,0,0.5,3,0.0,0.0,7.8
public_health,0,0.5,3,0.0,0.0,2.4
urology,10000,1.0,13,0.0,1.0,3.9
urology,52307,0.0,13,0.0,1.0,7.2
urology,25885,1.0,13,1.0,1.0,5.7
obstetrics,72196,0.0,13,1.0,1.0,2.7
public_health,0,0.5,4,0.0,0.0,8.9
public_health,0,0.5,4,0.0,0.0,7.5
urology,55028,0.0,13,1.0,1.0,5.4
public_health,0,0.5,3,0.0,0.0,3.6
obstetrics,61486,0.0,13,1.0,1.0,2.8
public_health,0,0.5,3,0.0,0.0,6.2
obstetrics,42556,0.0,13,1.0,1.0,2.1
urology,79664,1.0,13,1.0,1.0,4.2
urology,10000,0.0,13,1.0,1.0,4.4
urology,32509,1.0,13,0.0,1.0,1.9
urology,34221,1.0,13,1.0,0.0,2.5
urology,67055,1.0,13,0.0,0.0,5.1
urology,30781,1.0,13,1.0,1.0,6.4
public_health,0,0.5,3,0.0,0.0,5.2
obstetrics,26319,0.0,13,1.0,1.0,1.4
obstetrics,67549,0.0,13,1.0,1.0,2.2
urology,32855,0.0,13,1.0,0.0,6.3
urology,46993,0.0,13,1.0,0.0,0.8
public_health,0,0.5,4,0.0,0.0,13.9
urology,45440,0.0,13,1.0,1.0,4.7
public_health,0,0.5,3,0.0,0.0,9.1
public_health,0,0.5,4,0.0,0.0,7.3
urology,10000,0.0,13,0.0,1.0,5.0
public_health,0,0.5,3,0.0,0.0,3.7
urology,22512,0.0,13,1.0,1.0,3.7
urology,54697,1.0,13,0.0,1.0,6.1
public_health,0,0.5,3,0.0,0.0,11.7
urology,21348,0.0,13,1.0,0.0,3.0
urology,25536,1.0,13,1.0,1.0,2.0
urology,31311,1.0,13,1.0,1.0,5.3
public_health,0,0.5,3,0.0,0.0,5.5
public_health,0,0.5,3,0.0,0.0,10.0
obstetrics,60924,0.0,13,1.0,1.0,1.5
public_health,0,0.5,4,0.0,0.0,8.7
public_health,0,0.5,3,0.0,0.0,9.5
urology,49813,1.0,13,1.0,1.0,3.7
obstetrics,10000,0.0,13,1.0,1.0,1.4
obstetrics,84793,0.0,13,1.0,1.0,2.6
urology,10000,1.0,13,1.0,1.0,0.6
urology,10000,0.0,13,1.0,1.0,2.9
public_health,0,0.5,3,0.0,0.0,6.9
urology,27907,0.0,13,1.0,1.0,9.4
public_health,0,0.5,3,0.0,0.0,10.2
urology,22934,1.0,13,1.0,0.0,5.1
urology,27613,0.0,13,1.0,1.0,2.2
obstetrics,10000,0.0,13,1.0,1.0,3.7
urology,25464,1.0,13,1.0,1.0,3.9
public_health,0,0.5,3,0.0,0.0,12.2
public_health,0,0.5,3,0.0,0.0,8.0
obstetrics,34206,0.0,13,1.0,1.0,3.8
obstetrics,34483,0.0,13,1.0,1.0,4.4
obstetrics,101824,0.0,13,1.0,1.0,1.6
public_health,0,0.5,3,0.0,0.0,11.7
public_health,0,0.5,3,0.0,0.0,12.8
obstetrics,56659,0.0,13,1.0,1.0,1.7
public_health,0,0.5,3,0.0,0.0,3.5
urology,40372,0.0,13,0.0,1.0,1.8
urology,13133,0.0,13,1.0,1.0,2.9
public_health,0,0.5,3,0.0,0.0,10.2
urology,43185,1.0,13,1.0,1.0,8.6
public_health,0,0.5,3,0.0,0.0,5.6
public_health,0,0.5,3,0.0,0.0,8.4
obstetrics,26171,0.0,13,1.0,1.0,0.6
public_health,0,0.5,3,0.0,0.0,6.7
obstetrics,54960,0.0,13,1.0,1.0,1.2
urology,10000,0.0,13,0.0,1.0,2.4
public_health,0,0.5,3,0.0,0.0,3.6
obstetrics,30962,0.0,13,1.0,1.0,3.9
urology,40481,0.0,13,1.0,1.0,5.6
urology,10000,1.0,13,0.0,0.0,7.2
urology,81007,1.0,13,1.0,1.0,3.6
urology,20390,0.0,13,1.0,1.0,2.1
obstetrics,59655,0.0,13,1.0,1.0,3.1
urology,34387,0.0,13,1.0,1.0,2.5
urology,13617,1.0,13,1.0,1.0,4.1
obstetrics,25215,0.0,13,1.0,1.0,2.3
public_health,0,0.5,3,0.0,0.0,3.8
public_health,0,0.5,3,0.0,0.0,10.8
public_health,0,0.5,3,0.0,0.0,10.7
urology,44621,0.0,13,1.0,1.0,6.2
urology,11314,0.0,13,1.0,1.0,2.1
public_health,0,0.5,4,0.0,0.0,8.1
urology,53298,0.0,13,1.0,1.0,2.4
public_health,0,0.5,4,0.0,0.0,11.4
urology,10000,0.0,13,0.0,1.0,4.1
public_health,0,0.5,4,0.0,0.0,10.8
urology,10000,1.0,13,1.0,1.0,4.4
urology,33397,0.0,13,1.0,1.0,3.3
obstetrics,17537,0.0,13,1.0,1.0,5.3
public_health,0,0.5,3,0.0,0.0,5.9
urology,47130,0.0,13,0.0,1.0,5.6
urology,56352,0.0,13,1.0,1.0,5.7
public_health,0,0.5,4,0.0,0.0,11.7
obstetrics,90125,0.0,13,1.0,1.0,6.2
urology,40232,0.0,13,1.0,1.0,3.8
urology,40716,0.0,13,1.0,1.0,4.6
obstetrics,10000,0.0,13,1.0,1.0,4.6
obstetrics,70257,0.0,13,1.0,1.0,1.6
public_health,0,0.5,3,0.0,0.0,7.9
public_health,0,0.5,3,0.0,0.0,7.9
public_health,0,0.5,3,0.0,0.0,13.3
obstetrics,63378,0.0,13,1.0,1.0,2.6
urology,27914,1.0,13,0.0,1.0,7.1
urology,19298,0.0,13,0.0,1.0,3.1
obstetrics,10000,0.0,13,1.0,1.0,0.5
urology,10000,0.0,13,0.0,0.0,2.5
public_health,0,0.5,3,0.0,0.0,2.2
public_health,0,0.5,3,0.0,0.0,8.7
public_health,0,0.5,3,0.0,0.0,5.8
public_health,0,0.5,3,0.0,0.0,8.1
urology,56379,0.0,13,1.0,0.0,6.4
public_health,0,0.5,3,0.0,0.0,10.1
urology,38592,1.0,13,0.0,0.0,1.2
public_health,0,0.5,3,0.0,0.0,11.4
urology,21832,0.0,13,1.0,1.0,1.1
urology,10000,0.0,13,0.0,1.0,0.1
obstetrics,48808,0.0,13,1.0,1.0,2.4
obstetrics,56248,0.0,13,1.0,1.0,3.4
public_health,0,0.5,3,0.0,0.0,7.1
public_health,0,0.5,3,0.0,0.0,5.4
urology,10000,1.0,13,1.0,1.0,3.6
public_health,0,0.5,3,0.0,0.0,12.6
obstetrics,46601,0.0,13,1.0,1.0,1.1
urology,33613,0.0,13,0.0,1.0,4.5
urology,47237,1.0,13,1.0,1.0,2.2
urology,10000,1.0,13,1.0,1.0,9.6
urology,19214,0.0,13,0.0,1.0,3.1
public_health,0,0.5,4,0.0,0.0,9.3
urology,67045,0.0,13,1.0,1.0,3.3
urology,71287,1.0,13,1.0,1.0,7.4
public_health,0,0.5,3,0.0,0.0,8.3
urology,53164,0.0,13,1.0,0.0,2.6
obstetrics,31746,0.0,13,1.0,1.0,3.9
urology,27029,1.0,13,1.0,1.0,2.6
urology,50523,0.0,13,0.0,0.0,5.4
urology,10000,1.0,13,1.0,1.0,4.7
obstetrics,67937,0.0,13,1.0,1.0,2.7
obstetrics,70136,0.0,13,1.0,1.0,2.3
urology,16655,1.0,13,0.0,1.0,3.1
urology,12609,1.0,13,0.0,1.0,4.7
obstetrics,51854,0.0,13,1.0,1.0,3.0
obstetrics,10000,0.0,13,1.0,1.0,2.6
public_health,0,0.5,3,0.0,0.0,8.9
public_health,0,0.5,3,0.0,0.0,9.0
public_health,0,0.5,3,0.0,0.0,9.7
obstetrics,16335,0.0,13,1.0,1.0,1.9
public_health,0,0.5,3,0.0,0.0,2.4
public_health,0,0.5,3,0.0,0.0,11.6
urology,10000,0.0,13,0.0,1.0,3.1
public_health,0,0.5,3,0.0,0.0,10.4
urology,50316,1.0,13,0.0,0.0,1.4
obstetrics,10000,0.0,13,1.0,1.0,4.5
urology,10000,1.0,13,1.0,1.0,0.0
obstetrics,37305,0.0,13,1.0,1.0,1.4
urology,19033,1.0,13,0.0,0.0,5.9
urology,47324,0.0,13,0.0,1.0,3.1
public_health,0,0.5,3,0.0,0.0,2.8
public_health,0,0.5,3,0.0,0.0,7.3
obstetrics,57102,0.0,13,1.0,1.0,4.6
urology,44025,0.0,13,1.0,0.0,2.8
obstetrics,19745,0.0,13,1.0,1.0,3.1
urology,34000,1.0,13,0.0,1.0,5.7
public_health,0,0.5,3,0.0,0.0,10.7
urology,33249,1.0,13,0.0,1.0,2.0
public_health,0,0.5,3,0.0,0.0,10.4
obstetrics,90879,0.0,13,1.0,1.0,4.1
urology,18939,0.0,13,1.0,1.0,0.0
obstetrics,36255,0.0,13,1.0,1.0,0.0
urology,23954,0.0,13,1.0,1.0,4.3
urology,51508,0.0,13,1.0,1.0,3.0
obstetrics,18287,0.0,13,1.0,1.0,2.7
public_health,0,0.5,3,0.0,0.0,7.0
urology,14381,0.0,13,1.0,0.0,6.0
urology,61057,1.0,13,0.0,0.0,4.6
public_health,0,0.5,3,0.0,0.0,6.4
urology,60845,0.0,13,1.0,1.0,3.2
obstetrics,82757,0.0,13,1.0,1.0,5.1
public_health,0,0.5,3,0.0,0.0,8.3
urology,12417,0.0,13,1.0,1.0,10.2
urology,17955,0.0,13,1.0,1.0,6.2
obstetrics,84715,0.0,13,1.0,1.0,1.4
obstetrics,10000,0.0,13,1.0,1.0,0.0
public_health,0,0.5,3,0.0,0.0,6.2
urology,22921,0.0,13,0.0,1.0,1.6
urology,29393,1.0,13,1.0,1.0,3.9
urology,52060,1.0,13,1.0,1.0,1.6
obstetrics,104133,0.0,13,1.0,1.0,2.3
public_health,0,0.5,3,0.0,0.0,5.0
urology,20602,1.0,13,1.0,1.0,4.1
obstetrics,50694,0.0,13,1.0,1.0,0.4
urology,10000,0.0,13,1.0,1.0,7.7
obstetrics,51384,0.0,13,1.0,1.0,0.9
obstetrics,15526,0.0,13,1.0,1.0,2.8
public_health,0,0.5,3,0.0,0.0,5.0
public_health,0,0.5,3,0.0,0.0,8.1
public_health,0,0.5,4,0.0,0.0,6.5
public_health,0,0.5,3,0.0,0.0,6.3
obstetrics,71402,0.0,13,1.0,1.0,3.0
obstetrics,55887,0.0,13,1.0,1.0,4.2
urology,12835,0.0,13,1.0,1.0,6.9
public_health,0,0.5,4,0.0,0.0,7.2
obstetrics,80809,0.0,13,1.0,1.0,2.7
public_health,0,0.5,3,0.0,0.0,13.8
public_health,0,0.5,3,0.0,0.0,7.5
obstetrics,14584,0.0,13,1.0,1.0,1.9
public_health,0,0.5,3,0.0,0.0,9.6
urology,43627,1.0,13,0.0,1.0,5.6
public_health,0,0.5,3,0.0,0.0,9.5
urology,24251,0.0,13,0.0,0.0,3.1
urology,28979,0.0,13,1.0,1.0,5.6
obstetrics,37573,0.0,13,1.0,1.0,3.2
urology,46987,1.0,13,1.0,0.0,2.9
urology,10000,1.0,13,0.0,1.0,4.0
urology,10069,1.0,13,1.0,1.0,5.0
public_health,0,0.5,3,0.0,0.0,10.6
obstetrics,61317,0.0,13,1.0,1.0,1.8
public_health,0,0.5,3,0.0,0.0,10.7
public_health,0,0.5,3,0.0,0.0,10.9
urology,10000,1.0,13,1.0,1.0,2.4
urology,52387,0.0,13,1.0,0.0,6.5
obstetrics,21998,0.0,13,1.0,1.0,2.9
urology,70682,1.0,13,0.0,1.0,5.4
public_health,0,0.5,3,0.0,0.0,5.8
urology,32678,1.0,13,1.0,1.0,3.6
obstetrics,10000,0.0,13,1.0,1.0,3.1
urology,54728,1.0,13,1.0,1.0,3.6
public_health,0,0.5,3,0.0,0.0,6.0
public_health,0,0.5,3,0.0,0.0,7.0
public_health,0,0.5,4,0.0,0.0,3.2
obstetrics,47159,0.0,13,1.0,1.0,2.7
urology,10000,0.0,13,1.0,1.0,5.5
public_health,0,0.5,3,0.0,0.0,8.0
public_health,0,0.5,3,0.0,0.0,7.5
urology,32441,0.0,13,1.0,0.0,0.0
urology,33795,0.0,13,1.0,1.0,5.7
public_health,0,0.5,3,0.0,0.0,10.1
urology,64053,0.0,13,1.0,0.0,4.0
obstetrics,60598,0.0,13,1.0,1.0,3.1
urology,35574,1.0,13,1.0,1.0,2.1
obstetrics,10000,0.0,13,1.0,1.0,5.8
obstetrics,34880,0.0,13,1.0,1.0,0.0
urology,10000,1.0,13,1.0,1.0,3.9
public_health,0,0.5,3,0.0,0.0,14.4
urology,10000,0.0,13,1.0,1.0,5.3
urology,36264,1.0,13,1.0,0.0,4.4
urology,35425,0.0,13,1.0,1.0,4.6
urology,29218,1.0,13,0.0,0.0,4.3
obstetrics,61724,0.0,13,1.0,1.0,1.4
public_health,0,0.5,3,0.0,0.0,10.5
public_health,0,0.5,3,0.0,0.0,10.0
urology,10000,0.0,13,0.0,1.0,3.9
urology,10000,0.0,13,0.0,1.0,2.6
obstetrics,10000,0.0,13,1.0,1.0,0.7
public_health,0,0.5,4,0.0,0.0,3.6
obstetrics,56400,0.0,13,1.0,1.0,0.3
urology,10000,0.0,13,1.0,1.0,4.3
obstetrics,10000,0.0,13,1.0,1.0,6.5
urology,44986,1.0,13,0.0,1.0,3.6
obstetrics,31732,0.0,13,1.0,1.0,0.0
urology,20507,0.0,13,1.0,0.0,5.2
public_health,0,0.5,3,0.0,0.0,11.1
public_health,0,0.5,4,0.0,0.0,10.3
urology,43084,0.0,13,0.0,1.0,0.0
urology,10000,0.0,13,0.0,0.0,2.6
urology,54348,1.0,13,1.0,1.0,6.1
urology,46788,0.0,13,1.0,0.0,5.5
obstetrics,90257,0.0,13,1.0,1.0,0.1
public_health,0,0.5,3,0.0,0.0,3.6
public_health,0,0.5,3,0.0,0.0,10.4
urology,51454,0.0,13,0.0,1.0,6.5
public_health,0,0.5,3,0.0,0.0,4.5
obstetrics,10000,0.0,13,1.0,1.0,4.2
public_health,0,0.5,3,0.0,0.0,8.4
urology,27045,0.0,13,0.0,0.0,5.3
public_health,0,0.5,3,0.0,0.0,7.5
obstetrics,51981,0.0,13,1.0,1.0,1.1
obstetrics,10799,0.0,13,1.0,1.0,5.0
obstetrics,105525,0.0,13,1.0,1.0,3.2
urology,14662,0.0,13,1.0,1.0,7.0
urology,10000,0.0,13,0.0,1.0,8.3
urology,14284,0.0,13,1.0,0.0,7.3
public_health,0,0.5,3,0.0,0.0,11.4
urology,17497,1.0,13,1.0,1.0,0.6
urology,60679,1.0,13,1.0,1.0,2.9
urology,10628,0.0,13,1.0,1.0,2.8
public_health,0,0.5,3,0.0,0.0,7.9
urology,32302,0.0,13,1.0,1.0,6.9
public_health,0,0.5,3,0.0,0.0,11.1
obstetrics,36425,0.0,13,1.0,1.0,3.5
urology,29269,0.0,13,1.0,0.0,3.7
urology,20098,1.0,13,0.0,1.0,5.2
urology,10000,1.0,13,0.0,1.0,4.0
urology,64180,0.0,13,1.0,1.0,3.2
public_health,0,0.5,3,0.0,0.0,9.2
urology,40470,0.0,13,1.0,1.0,8.0
public_health,0,0.5,3,0.0,0.0,7.3
obstetrics,10000,0.0,13,1.0,1.0,3.4
public_health,0,0.5,3,0.0,0.0,3.3
urology,34421,1.0,13,0.0,0.0,9.0
urology,12293,1.0,13,1.0,1.0,5.5
urology,32271,1.0,13,1.0,1.0,2.7
public_health,0,0.5,3,0.0,0.0,8.2
public_health,0,0.5,3,0.0,0.0,9.7
obstetrics,10000,0.0,13,1.0,1.0,1.3
urology,10000,0.0,13,1.0,1.0,6.6
obstetrics,28328,0.0,13,1.0,1.0,1.1
public_health,0,0.5,4,0.0,0.0,4.3
public_health,0,0.5,3,0.0,0.0,8.7
public_health,0,0.5,3,0.0,0.0,8.6
urology,10000,0.0,13,1.0,1.0,5.9
